Latitude (decimal degrees):	51.495
Longitude (decimal degrees):	10.798
Elevation (m):	181
Radiation database:	PVGIS-SARAH2


Slope: 45 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200104:1210,19.76,92.33,3.19,14.99,3.69,6.97,0.0
20200104:1310,0.0,17.91,0.62,11.98,3.95,6.69,0.0
20200104:1410,46.74,52.36,1.67,7.01,4.15,6.69,0.0
20200104:1510,0.0,0.0,0.0,0.0,4.0,6.62,0.0
20200104:1610,0.0,0.0,0.0,0.0,4.12,6.07,0.0
20200104:1710,0.0,0.0,0.0,0.0,4.06,5.31,0.0
20200104:1810,0.0,0.0,0.0,0.0,3.86,4.76,0.0
20200104:1910,0.0,0.0,0.0,0.0,3.58,4.62,0.0
20200104:2010,0.0,0.0,0.0,0.0,2.88,4.21,0.0
20200104:2110,0.0,0.0,0.0,0.0,2.32,3.93,0.0
20200104:2210,0.0,0.0,0.0,0.0,2.04,3.79,0.0
20200104:2310,0.0,0.0,0.0,0.0,1.53,3.59,0.0
20200105:0010,0.0,0.0,0.0,0.0,1.34,3.31,0.0
20200105:0110,0.0,0.0,0.0,0.0,1.0,3.03,0.0
20200105:0210,0.0,0.0,0.0,0.0,0.73,2.9,0.0
20200105:0310,0.0,0.0,0.0,0.0,0.11,2.97,0.0
20200105:0410,0.0,0.0,0.0,0.0,-0.42,2.83,0.0
20200105:0510,0.0,0.0,0.0,0.0,-0.78,2.55,0.0
20200105:0610,0.0,0.0,0.0,0.0,-1.2,2.14,0.0
20200105:0710,0.0,0.0,0.0,0.0,-1.41,1.86,0.0
20200105:0810,107.36,45.11,1.38,4.9,-2.3,1.66,0.0
20200105:0910,79.83,87.95,2.9,10.51,-0.77,1.03,0.0
20200105:1010,40.43,99.44,3.43,14.26,1.19,1.1,0.0
20200105:1110,44.74,112.54,3.9,15.85,2.15,1.66,0.0
20200105:1210,147.24,140.97,4.83,15.11,2.67,1.86,0.0
20200105:1310,29.41,79.46,2.72,12.12,2.59,1.79,0.0
20200105:1410,25.54,45.08,1.49,7.15,2.71,1.93,0.0
20200105:1510,0.0,0.0,0.0,0.0,2.63,1.79,0.0
20200105:1610,0.0,0.0,0.0,0.0,2.38,1.79,0.0
20200105:1710,0.0,0.0,0.0,0.0,2.65,1.79,0.0
20200105:1810,0.0,0.0,0.0,0.0,2.84,1.79,0.0
20200105:1910,0.0,0.0,0.0,0.0,3.06,2.14,0.0
20200105:2010,0.0,0.0,0.0,0.0,3.09,2.28,0.0
20200105:2110,0.0,0.0,0.0,0.0,3.14,2.41,0.0
20200105:2210,0.0,0.0,0.0,0.0,3.3,2.62,0.0
20200105:2310,0.0,0.0,0.0,0.0,3.28,2.83,0.0
20200106:0010,0.0,0.0,0.0,0.0,3.24,2.9,0.0
20200106:0110,0.0,0.0,0.0,0.0,2.97,2.83,0.0
20200106:0210,0.0,0.0,0.0,0.0,2.96,2.69,0.0
20200106:0310,0.0,0.0,0.0,0.0,2.67,2.55,0.0
20200106:0410,0.0,0.0,0.0,0.0,2.52,2.41,0.0
20200106:0510,0.0,0.0,0.0,0.0,2.42,2.28,0.0
20200106:0610,0.0,0.0,0.0,0.0,2.3,2.0,0.0
20200106:0710,0.0,0.0,0.0,0.0,2.49,2.41,0.0
20200106:0810,0.0,17.91,0.62,4.96,2.3,2.34,0.0
20200106:0910,0.0,42.64,1.46,10.58,2.76,2.41,0.0
20200106:1010,0.0,45.2,1.55,14.36,3.21,3.24,0.0
20200106:1110,0.0,47.75,1.64,15.96,3.42,2.83,0.0
20200106:1210,0.0,56.28,1.93,15.24,3.67,2.69,0.0
20200106:1310,0.0,46.9,1.61,12.26,3.77,2.48,0.0
20200106:1410,0.0,25.58,0.88,7.29,3.58,2.07,0.0
20200106:1510,0.0,0.0,0.0,0.0,3.05,1.86,0.0
20200106:1610,0.0,0.0,0.0,0.0,2.12,1.86,0.0
20200106:1710,0.0,0.0,0.0,0.0,1.86,1.93,0.0
20200106:1810,0.0,0.0,0.0,0.0,1.46,2.0,0.0
20200106:1910,0.0,0.0,0.0,0.0,0.21,2.07,0.0
20200106:2010,0.0,0.0,0.0,0.0,-0.16,2.21,0.0
20200106:2110,0.0,0.0,0.0,0.0,-0.57,2.41,0.0
20200106:2210,0.0,0.0,0.0,0.0,-0.65,2.48,0.0
20200106:2310,0.0,0.0,0.0,0.0,-0.47,2.41,0.0
20200107:0010,0.0,0.0,0.0,0.0,-0.59,2.69,0.0
20200107:0110,0.0,0.0,0.0,0.0,-0.13,3.31,0.0
20200107:0210,0.0,0.0,0.0,0.0,-0.07,3.03,0.0
20200107:0310,0.0,0.0,0.0,0.0,-0.01,3.1,0.0
20200107:0410,0.0,0.0,0.0,0.0,0.27,3.24,0.0
20200107:0510,0.0,0.0,0.0,0.0,0.61,3.03,0.0
20200107:0610,0.0,0.0,0.0,0.0,1.17,2.97,0.0
20200107:0710,0.0,0.0,0.0,0.0,1.21,3.1,0.0
20200107:0810,78.43,43.92,1.35,5.02,1.75,3.03,0.0
20200107:0910,7.87,58.83,2.02,10.66,2.26,2.97,0.0
20200107:1010,0.0,65.66,2.26,14.46,2.87,2.76,0.0
20200107:1110,0.0,66.51,2.28,16.08,3.4,2.76,0.0
20200107:1210,0.0,52.87,1.82,15.37,3.94,3.03,0.0
20200107:1310,25.26,80.16,2.75,12.4,4.32,3.03,0.0
20200107:1410,14.8,40.62,1.38,7.45,4.49,2.76,0.0
20200107:1510,0.0,0.0,0.0,0.0,4.05,2.69,0.0
20200107:1610,0.0,0.0,0.0,0.0,3.62,2.83,0.0
20200107:1710,0.0,0.0,0.0,0.0,3.28,2.97,0.0
20200107:1810,0.0,0.0,0.0,0.0,2.89,3.03,0.0
20200107:1910,0.0,0.0,0.0,0.0,2.97,3.38,0.0
20200107:2010,0.0,0.0,0.0,0.0,2.83,3.45,0.0
20200107:2110,0.0,0.0,0.0,0.0,2.58,3.45,0.0
20200107:2210,0.0,0.0,0.0,0.0,2.8,3.66,0.0
20200107:2310,0.0,0.0,0.0,0.0,3.02,4.07,0.0
20200108:0010,0.0,0.0,0.0,0.0,3.24,4.21,0.0
20200108:0110,0.0,0.0,0.0,0.0,3.15,4.28,0.0
20200108:0210,0.0,0.0,0.0,0.0,2.9,4.21,0.0
20200108:0310,0.0,0.0,0.0,0.0,2.87,4.0,0.0
20200108:0410,0.0,0.0,0.0,0.0,2.83,4.0,0.0
20200108:0510,0.0,0.0,0.0,0.0,2.79,3.93,0.0
20200108:0610,0.0,0.0,0.0,0.0,2.92,3.86,0.0
20200108:0710,0.0,0.0,0.0,0.0,2.99,4.34,0.0
20200108:0810,0.0,18.76,0.64,5.09,3.16,4.34,0.0
20200108:0910,0.0,40.08,1.38,10.75,3.76,4.28,0.0
20200108:1010,0.0,45.2,1.55,14.57,4.33,4.21,0.0
20200108:1110,0.0,52.02,1.79,16.21,4.88,4.28,0.0
20200108:1210,0.0,55.43,1.9,15.51,5.42,4.14,0.0
20200108:1310,0.0,22.17,0.76,12.56,5.84,4.21,0.0
20200108:1410,0.0,11.94,0.41,7.6,6.12,4.07,0.0
20200108:1510,0.0,0.0,0.0,0.0,6.29,3.93,0.0
20200108:1610,0.0,0.0,0.0,0.0,6.43,3.66,0.0
20200108:1710,0.0,0.0,0.0,0.0,6.55,3.45,0.0
20200108:1810,0.0,0.0,0.0,0.0,6.69,3.24,0.0
20200108:1910,0.0,0.0,0.0,0.0,5.46,2.97,0.0
20200108:2010,0.0,0.0,0.0,0.0,5.54,2.76,0.0
20200108:2110,0.0,0.0,0.0,0.0,5.66,2.55,0.0
20200108:2210,0.0,0.0,0.0,0.0,5.77,2.28,0.0
20200108:2310,0.0,0.0,0.0,0.0,5.88,2.14,0.0
20200109:0010,0.0,0.0,0.0,0.0,5.96,1.93,0.0
20200109:0110,0.0,0.0,0.0,0.0,6.05,1.86,0.0
20200109:0210,0.0,0.0,0.0,0.0,6.12,1.86,0.0
20200109:0310,0.0,0.0,0.0,0.0,6.18,1.93,0.0
20200109:0410,0.0,0.0,0.0,0.0,6.22,2.0,0.0
20200109:0510,0.0,0.0,0.0,0.0,6.29,2.28,0.0
20200109:0610,0.0,0.0,0.0,0.0,6.43,2.69,0.0
20200109:0710,0.0,0.0,0.0,0.0,6.17,3.03,0.0
20200109:0810,25.35,29.82,1.0,5.17,6.52,3.31,0.0
20200109:0910,27.07,69.4,2.37,10.85,7.04,3.52,0.0
20200109:1010,0.0,41.78,1.44,14.68,7.62,3.86,0.0
20200109:1110,0.0,61.4,2.11,16.34,8.19,4.21,0.0
20200109:1210,0.0,34.96,1.2,15.66,8.67,4.62,0.0
20200109:1310,10.61,67.82,2.34,12.72,9.11,4.76,0.0
20200109:1410,4.76,32.35,1.11,7.77,9.42,4.69,0.0
20200109:1510,0.0,0.0,0.0,0.0,9.7,4.62,0.0
20200109:1610,0.0,0.0,0.0,0.0,9.81,4.62,0.0
20200109:1710,0.0,0.0,0.0,0.0,9.82,4.55,0.0
20200109:1810,0.0,0.0,0.0,0.0,9.72,4.41,0.0
20200109:1910,0.0,0.0,0.0,0.0,9.52,4.41,0.0
20200109:2010,0.0,0.0,0.0,0.0,9.27,4.34,0.0
20200109:2110,0.0,0.0,0.0,0.0,9.06,4.28,0.0
20200109:2210,0.0,0.0,0.0,0.0,8.91,4.21,0.0
20200109:2310,0.0,0.0,0.0,0.0,8.76,4.21,0.0
20200110:0010,0.0,0.0,0.0,0.0,8.59,4.21,0.0
20200110:0110,0.0,0.0,0.0,0.0,8.43,4.41,0.0
20200110:0210,0.0,0.0,0.0,0.0,7.98,4.55,0.0
20200110:0310,0.0,0.0,0.0,0.0,7.73,4.55,0.0
20200110:0410,0.0,0.0,0.0,0.0,7.34,4.55,0.0
20200110:0510,0.0,0.0,0.0,0.0,7.23,4.69,0.0
20200110:0610,0.0,0.0,0.0,0.0,7.14,4.62,0.0
20200110:0710,0.0,0.0,0.0,0.0,7.6,4.9,0.0
20200110:0810,37.39,35.01,1.14,5.26,7.77,4.9,0.0
20200110:0910,371.64,117.85,4.57,10.96,8.03,4.76,0.0
20200110:1010,0.0,32.4,1.11,14.81,8.39,4.34,0.0
20200110:1110,0.0,19.61,0.67,16.48,8.61,4.14,0.0
20200110:1210,56.78,117.44,4.07,15.82,8.9,5.24,0.0
20200110:1310,0.0,14.5,0.5,12.88,8.79,5.1,0.0
20200110:1410,0.0,7.67,0.26,7.94,8.57,5.1,0.0
20200110:1510,0.0,0.0,0.0,0.0,8.01,4.76,0.0
20200110:1610,0.0,0.0,0.0,0.0,7.34,4.62,0.0
20200110:1710,0.0,0.0,0.0,0.0,6.74,4.62,0.0
20200110:1810,0.0,0.0,0.0,0.0,5.87,4.69,0.0
20200110:1910,0.0,0.0,0.0,0.0,5.43,4.83,0.0
20200110:2010,0.0,0.0,0.0,0.0,4.72,4.55,0.0
20200110:2110,0.0,0.0,0.0,0.0,4.06,4.41,0.0
20200110:2210,0.0,0.0,0.0,0.0,3.76,4.28,0.0
20200110:2310,0.0,0.0,0.0,0.0,3.61,4.07,0.0
20200111:0010,0.0,0.0,0.0,0.0,3.51,3.93,0.0
20200111:0110,0.0,0.0,0.0,0.0,3.15,3.86,0.0
20200111:0210,0.0,0.0,0.0,0.0,3.21,3.66,0.0
20200111:0310,0.0,0.0,0.0,0.0,3.15,3.24,0.0
20200111:0410,0.0,0.0,0.0,0.0,2.77,3.17,0.0
20200111:0510,0.0,0.0,0.0,0.0,2.67,3.1,0.0
20200111:0610,0.0,0.0,0.0,0.0,2.18,2.55,0.0
20200111:0710,0.0,0.0,0.0,0.0,1.87,1.93,0.0
20200111:0810,116.32,52.42,1.58,5.35,1.39,2.0,0.0
20200111:0910,26.56,71.95,2.46,11.07,1.94,1.86,0.0
20200111:1010,3.23,71.37,2.46,14.94,3.06,2.55,0.0
20200111:1110,580.32,153.59,7.82,16.63,3.84,2.97,0.0
20200111:1210,378.58,171.96,6.65,15.98,4.33,3.17,0.0
20200111:1310,443.46,136.21,5.77,13.05,4.5,3.59,0.0
20200111:1410,389.75,83.15,3.46,8.12,4.28,3.38,0.0
20200111:1510,0.0,0.0,0.0,0.0,3.57,3.1,0.0
20200111:1610,0.0,0.0,0.0,0.0,2.57,3.1,0.0
20200111:1710,0.0,0.0,0.0,0.0,2.11,3.31,0.0
20200111:1810,0.0,0.0,0.0,0.0,1.75,3.59,0.0
20200111:1910,0.0,0.0,0.0,0.0,1.5,3.72,0.0
20200111:2010,0.0,0.0,0.0,0.0,1.3,3.79,0.0
20200111:2110,0.0,0.0,0.0,0.0,1.18,3.72,0.0
20200111:2210,0.0,0.0,0.0,0.0,1.18,3.72,0.0
20200111:2310,0.0,0.0,0.0,0.0,1.02,3.66,0.0
20200112:0010,0.0,0.0,0.0,0.0,0.96,3.72,0.0
20200112:0110,0.0,0.0,0.0,0.0,0.71,3.72,0.0
20200112:0210,0.0,0.0,0.0,0.0,0.51,3.66,0.0
20200112:0310,0.0,0.0,0.0,0.0,0.35,3.52,0.0
20200112:0410,0.0,0.0,0.0,0.0,0.22,3.45,0.0
20200112:0510,0.0,0.0,0.0,0.0,0.13,3.45,0.0
20200112:0610,0.0,0.0,0.0,0.0,0.07,3.59,0.0
20200112:0710,0.0,0.0,0.0,0.0,-0.23,3.79,0.0
20200112:0810,42.06,39.08,1.26,5.45,0.0,3.93,0.0
20200112:0910,0.0,43.49,1.49,11.19,0.78,3.93,0.0
20200112:1010,0.0,69.07,2.37,15.08,1.88,4.21,0.0
20200112:1110,185.87,166.16,5.8,16.79,2.86,4.76,0.0
20200112:1210,164.43,156.45,5.42,16.15,3.59,4.9,0.0
20200112:1310,0.0,36.67,1.26,13.23,3.99,4.76,0.0
20200112:1410,63.0,68.21,2.2,8.3,4.0,4.83,0.0
20200112:1510,0.0,0.0,0.0,0.0,3.73,4.83,0.0
20200112:1610,0.0,0.0,0.0,0.0,3.81,4.97,0.0
20200112:1710,0.0,0.0,0.0,0.0,4.39,5.1,0.0
20200112:1810,0.0,0.0,0.0,0.0,4.69,5.24,0.0
20200112:1910,0.0,0.0,0.0,0.0,3.45,5.38,0.0
20200112:2010,0.0,0.0,0.0,0.0,3.7,5.31,0.0
20200112:2110,0.0,0.0,0.0,0.0,3.99,5.17,0.0
20200112:2210,0.0,0.0,0.0,0.0,4.22,5.1,0.0
20200112:2310,0.0,0.0,0.0,0.0,4.47,4.97,0.0
20200113:0010,0.0,0.0,0.0,0.0,4.66,4.69,0.0
20200113:0110,0.0,0.0,0.0,0.0,4.96,4.41,0.0
20200113:0210,0.0,0.0,0.0,0.0,4.98,4.0,0.0
20200113:0310,0.0,0.0,0.0,0.0,4.98,3.66,0.0
20200113:0410,0.0,0.0,0.0,0.0,5.03,3.38,0.0
20200113:0510,0.0,0.0,0.0,0.0,4.97,3.24,0.0
20200113:0610,0.0,0.0,0.0,0.0,4.91,3.24,0.0
20200113:0710,0.0,0.0,0.0,0.0,4.69,3.38,0.0
20200113:0810,100.18,52.01,1.58,5.56,4.65,3.45,0.0
20200113:0910,55.76,87.7,2.96,11.31,4.71,3.45,0.0
20200113:1010,3.18,75.65,2.61,15.22,5.06,3.72,0.0
20200113:1110,0.0,42.64,1.46,16.95,5.32,3.93,0.0
20200113:1210,83.05,133.46,4.63,16.33,5.45,3.93,0.0
20200113:1310,233.84,141.65,4.92,13.42,5.62,4.0,0.0
20200113:1410,295.82,96.87,3.34,8.49,5.53,3.72,0.0
20200113:1510,0.0,0.0,0.0,0.0,5.23,3.03,0.0
20200113:1610,0.0,0.0,0.0,0.0,4.9,2.83,0.0
20200113:1710,0.0,0.0,0.0,0.0,4.77,2.9,0.0
20200113:1810,0.0,0.0,0.0,0.0,4.9,3.31,0.0
20200113:1910,0.0,0.0,0.0,0.0,4.49,3.1,0.0
20200113:2010,0.0,0.0,0.0,0.0,4.51,3.59,0.0
20200113:2110,0.0,0.0,0.0,0.0,4.61,3.86,0.0
20200113:2210,0.0,0.0,0.0,0.0,4.42,3.66,0.0
20200113:2310,0.0,0.0,0.0,0.0,4.44,3.45,0.0
20200114:0010,0.0,0.0,0.0,0.0,4.51,3.52,0.0
20200114:0110,0.0,0.0,0.0,0.0,4.2,3.52,0.0
20200114:0210,0.0,0.0,0.0,0.0,4.09,3.72,0.0
20200114:0310,0.0,0.0,0.0,0.0,4.32,4.21,0.0
20200114:0410,0.0,0.0,0.0,0.0,4.81,4.62,0.0
20200114:0510,0.0,0.0,0.0,0.0,5.19,4.83,0.0
20200114:0610,0.0,0.0,0.0,0.0,5.43,5.03,0.0
20200114:0710,0.0,0.0,0.0,0.0,6.01,5.52,0.0
20200114:0810,213.67,60.77,1.96,5.67,6.28,5.72,0.0
20200114:0910,308.84,121.37,4.48,11.44,6.78,5.79,0.0
20200114:1010,47.3,109.67,3.81,15.37,7.63,5.79,0.0
20200114:1110,38.98,117.69,4.1,17.12,8.38,5.1,0.0
20200114:1210,67.07,126.09,4.39,16.51,8.76,5.59,0.0
20200114:1310,46.91,96.73,3.34,13.61,9.09,5.59,0.0
20200114:1410,8.66,44.37,1.52,8.68,9.09,5.24,0.0
20200114:1510,0.0,0.0,0.0,0.0,8.97,5.03,0.0
20200114:1610,0.0,0.0,0.0,0.0,8.65,5.17,0.0
20200114:1710,0.0,0.0,0.0,0.0,8.44,5.38,0.0
20200114:1810,0.0,0.0,0.0,0.0,8.53,5.59,0.0
20200114:1910,0.0,0.0,0.0,0.0,8.54,5.72,0.0
20200114:2010,0.0,0.0,0.0,0.0,8.32,5.79,0.0
20200114:2110,0.0,0.0,0.0,0.0,8.09,5.79,0.0
20200114:2210,0.0,0.0,0.0,0.0,8.07,5.79,0.0
20200114:2310,0.0,0.0,0.0,0.0,8.03,5.66,0.0
20200115:0010,0.0,0.0,0.0,0.0,8.17,5.59,0.0
20200115:0110,0.0,0.0,0.0,0.0,8.29,5.52,0.0
20200115:0210,0.0,0.0,0.0,0.0,8.24,5.45,0.0
20200115:0310,0.0,0.0,0.0,0.0,8.09,5.1,0.0
20200115:0410,0.0,0.0,0.0,0.0,7.95,4.69,0.0
20200115:0510,0.0,0.0,0.0,0.0,8.05,4.69,0.0
20200115:0610,0.0,0.0,0.0,0.0,7.89,4.62,0.0
20200115:0710,0.0,0.0,0.0,0.0,7.72,4.9,0.0
20200115:0810,50.9,44.46,1.38,5.79,7.53,4.62,0.0
20200115:0910,476.23,106.45,5.24,11.58,7.85,4.55,0.0
20200115:1010,593.76,128.73,7.38,15.53,8.56,4.07,0.0
20200115:1110,582.74,155.7,8.11,17.3,9.21,4.41,0.0
20200115:1210,577.0,148.44,7.82,16.7,9.8,4.41,0.0
20200115:1310,483.59,133.69,6.24,13.8,10.09,4.69,0.0
20200115:1410,42.49,64.18,2.14,8.88,10.0,5.1,0.0
20200115:1510,0.0,0.0,0.0,0.0,9.35,4.83,0.0
20200115:1610,0.0,0.0,0.0,0.0,8.61,4.83,0.0
20200115:1710,0.0,0.0,0.0,0.0,8.28,4.97,0.0
20200115:1810,0.0,0.0,0.0,0.0,8.21,5.1,0.0
20200115:1910,0.0,0.0,0.0,0.0,8.09,4.9,0.0
20200115:2010,0.0,0.0,0.0,0.0,8.14,4.83,0.0
20200115:2110,0.0,0.0,0.0,0.0,8.25,4.9,0.0
20200115:2210,0.0,0.0,0.0,0.0,8.76,4.83,0.0
20200115:2310,0.0,0.0,0.0,0.0,9.22,4.48,0.0
20200116:0010,0.0,0.0,0.0,0.0,9.11,4.07,0.0
20200116:0110,0.0,0.0,0.0,0.0,8.9,3.59,0.0
20200116:0210,0.0,0.0,0.0,0.0,8.47,2.97,0.0
20200116:0310,0.0,0.0,0.0,0.0,7.55,2.48,0.0
20200116:0410,0.0,0.0,0.0,0.0,6.3,2.07,0.0
20200116:0510,0.0,0.0,0.0,0.0,5.38,1.86,0.0
20200116:0610,0.0,0.0,0.0,0.0,4.24,1.93,0.0
20200116:0710,0.0,0.0,0.0,0.0,4.28,1.24,0.0
20200116:0810,121.77,62.13,1.79,5.92,4.23,1.1,0.0
20200116:0910,438.37,113.05,5.15,11.73,4.83,0.9,0.0
20200116:1010,377.77,164.82,6.53,15.7,7.4,1.03,0.0
20200116:1110,256.44,177.62,6.47,17.48,9.07,1.72,0.0
20200116:1210,523.77,158.37,7.64,16.9,9.89,2.62,0.0
20200116:1310,455.03,137.63,6.18,14.01,10.16,2.69,0.0
20200116:1410,325.13,97.78,3.66,9.08,10.1,2.28,0.0
20200116:1510,0.0,5.97,0.21,2.51,9.31,1.93,0.0
20200116:1610,0.0,0.0,0.0,0.0,7.88,2.14,0.0
20200116:1710,0.0,0.0,0.0,0.0,6.89,2.21,0.0
20200116:1810,0.0,0.0,0.0,0.0,5.95,2.28,0.0
20200116:1910,0.0,0.0,0.0,0.0,4.64,2.0,0.0
20200116:2010,0.0,0.0,0.0,0.0,3.36,1.86,0.0
20200116:2110,0.0,0.0,0.0,0.0,2.45,1.86,0.0
20200116:2210,0.0,0.0,0.0,0.0,1.73,2.0,0.0
20200116:2310,0.0,0.0,0.0,0.0,1.23,2.07,0.0
20200117:0010,0.0,0.0,0.0,0.0,1.24,1.86,0.0
20200117:0110,0.0,0.0,0.0,0.0,1.34,1.72,0.0
20200117:0210,0.0,0.0,0.0,0.0,1.52,1.52,0.0
